"id","title","description","original_air_date","directed_by","written_by","season","number_in_season","number_in_series","us_viewers_in_millions","imdb_rating","tmdb_rating"
"91","Homer the Vigilante","An outbreak of burglaries inspires Homer to lead a vigilante group.","1994-01-06","Jim Reardon","John Swartzwelder","5","11","92","20.1","",""
"92","Bart Gets Famous","Bart becomes an overnight sensation as the ""I didn't do it"" boy on Krusty the Clown's show.","1994-02-03","Susie Dietter","John Swartzwelder","5","12","93","20.0","",""
"93","Homer and Apu","Apu moves in with the Simpsons after losing his job when Homer gets ill from the contaminated food","1994-02-10","Mark Kirkland","Greg Daniels","5","13","94","21.8","",""
"94","Lisa vs. Malibu Stacy","Angered by the vacuous phrases her Malibu Stacy doll utters, Lisa works with Malibu Stacy's original designer to create a doll with admirable traits.","1994-02-17","Jeffrey Lynch","Bill Oakley & Josh Weinstein","5","14","95","19.9","",""
"95","Deep Space Homer","In an effort to increase the dismal television ratings for their space launches, NASA decides to send an ordinary man into space, and Homer is chosen for the task.","1994-02-24","Carlos Baeza","David Mirkin","5","15","96","18.2","",""
"96","Homer Loves Flanders","After Flanders invites Homer to a football game, the pair become friends, but Homer's possessiveness and loutish behaviour slowly turns Ned against him.","1994-03-17","Wes Archer","David Richardson","5","16","97","18.0","",""
"97","Bart Gets an Elephant","After Bart receives an elephant as a prize for calling in to a radio station, the animal proves to be too costly to care for and Homer decides to sell it.","1994-03-31","Jim Reardon","John Swartzwelder","5","17","98","17.0","",""
"98","Burns' Heir","After coming close to death, Mr. Burns decides than it's time to find an heir to his empire, and chooses Bart because of his truly devious nature.","1994-04-14","Mark Kirkland","Jace Richdale","5","18","99","14.7","",""
"99","Sweet Seymour Skinner's Baadasssss Song","Bart accidentally gets Principal Skinner fired on inspection day, with Ned Flanders taking over as his replacement.","1994-04-28","Bob Anderson","Bill Oakley & Josh Weinstein","5","19","100","19.7","",""
"100","The Boy Who Knew Too Much","Bart witnesses the alleged assault of a waiter by Mayor Quimby's nephew, but coming forward will mean admitting to skipping class, and face the consequences.","1994-05-05","Jeffrey Lynch","John Swartzwelder","5","20","101","15.5","",""
"101","Lady Bouvier's Lover","Grampa falls in love with Marge's mother, but must compete with Mr. Burns for her heart.","1994-05-12","Wes Archer","Bill Oakley & Josh Weinstein","5","21","102","15.1","",""
"102","Secrets of a Successful Marriage","Homer begins teaching a class on how to have a successful marriage, but jeopardizes his own marriage by revealing secrets about himself and Marge.","1994-05-19","Carlos Baeza","Greg Daniels","5","22","103","15.6","",""
"103","Bart of Darkness","Confined to his room with a broken leg, Bart suspects Ned Flanders of murdering Maude; the family's new swimming pool earns Lisa popularity among the neighborhood kids.","1994-09-04","Jim Reardon","Dan McGrath","6","1","104","15.1","",""
"104","Lisa's Rival","Lisa is jealous when a new girl in class is smarter than she is","1994-09-11","Mark Kirkland","Mike Scully","6","2","105","16.7","",""
"105","Another Simpsons Clip Show","The family recalls past tales of lost love.","1994-09-25","David Silverman","Jon Vitti","6","3","106","13.5","",""
"106","Itchy & Scratchy Land","A family vacation to Itchy & Scratchy Land turns disastrous when the robots malfunction and turn on the tourists.","1994-10-02","Wes Archer","John Swartzwelder","6","4","107","14.8","",""
"107","Sideshow Bob Roberts","When Sideshow Bob is released from prison and is elected Mayor of Springfield, Bart and Lisa suspect foul play and are determined to expose his corruption.","1994-10-09","Mark Kirkland","Bill Oakley & Josh Weinstein","6","5","108","14.4","",""
"108","Treehouse of Horror V","The family's job at Mr. Burns' country estate goes awry when Homer goes mad","1994-10-30","Jim Reardon","Bob Kushell","6","6","109","22.2","",""
"109","Bart's Girlfriend","Bart falls for Reverend Lovejoy's daughter and is surprised when she becomes a bad influence on him.","1994-11-06","Susie Dietter","Jonathan Collier","6","7","110","15.3","",""
"110","Lisa on Ice","Sibling rivalry between Bart and Lisa ensues when they become the star players of their respective ice hockey teams.","1994-11-13","Bob Anderson","Mike Scully","6","8","111","17.9","",""
"111","Homer Badman","Homer accidentally lands himself in trouble with the law and with the kids' babysitter after stealing a gummy replica at a candy convention.","1994-11-27","Jeff Lynch","Greg Daniels","6","9","112","15.5","",""
"112","Grampa vs. Sexual Inadequacy","Homer and Abe hit the road to sell Abe's miraculous aphrodisiac.","1994-12-04","Wes Archer","Bill Oakley & Josh Weinstein","6","10","113","14.1","",""
"113","Fear of Flying","Marge goes into therapy to cure her of her traumatizing fear of flying.","1994-12-18","Mark Kirkland","David Sacks","6","11","114","15.6","",""
"114","Homer the Great","Homer becomes a member of a mysterious organization called the Stonecutters and is heralded as ""the chosen one"".","1995-01-08","Jim Reardon","John Swartzwelder","6","12","115","20.1","",""
"115","And Maggie Makes Three","Homer recounts the story of Maggie's birth when the kids ask why there are no photos of her in the family album.","1995-01-22","Swinton O. Scott III","Jennifer Crittenden","6","13","116","17.3","",""
"116","Bart's Comet","Bart discovers a comet that is on a collision course with Springfield.","1995-02-05","Bob Anderson","John Swartzwelder","6","14","117","18.7","",""
